"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.imageID","Input.objectClass","Input.imageLink1","Input.imageLink2","Input.imageLink3","Input.imageLink4","Answer.detection1.1","Answer.detection2.2","Answer.detection3.3","Answer.detection4.4","Answer.e_abort","Answer.e_canplay","Answer.e_canplaythrough","Answer.e_durationchange","Answer.e_emptied","Answer.e_ended","Answer.e_error","Answer.e_loadeddata","Answer.e_loadedmetadata","Answer.e_loadstart","Answer.e_pause","Answer.e_play","Answer.e_playing","Answer.e_progress","Answer.e_ratechange","Answer.e_seeked","Answer.e_seeking","Answer.e_stalled","Answer.e_suspend","Answer.e_timeupdate","Answer.e_volumechange","Answer.e_waiting","Answer.imageLink1","Answer.imageLink2","Answer.imageLink3","Answer.imageLink4","Answer.maxNumberChoices","Answer.numberDetections","Answer.object_class","Approve","Reject"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","31LM9EDVOMZY0RLPKVIII6RNRSHJNB","A2XDT4STF6YGPY","Submitted","Mon Feb 20 05:27:27 PST 2023","Mon Feb 20 05:27:42 PST 2023","Mon Feb 27 05:27:42 PST 2023","","","","15","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","true","false","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","31UV0MXWNRJYFRVDYD1WCOC1NSQI56","AZO5KPO3QS0OU","Submitted","Mon Feb 20 01:44:27 PST 2023","Mon Feb 20 01:44:45 PST 2023","Mon Feb 27 01:44:45 PST 2023","","","","18","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","false","true","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","33FBRBDW6P6QP6SF41CDD5OXCDYC8R","A18GB00R46WI6P","Submitted","Sat Feb 18 02:44:39 PST 2023","Sat Feb 18 02:44:52 PST 2023","Sat Feb 25 02:44:52 PST 2023","","","","13","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","false","false","true","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","345LHZDEDYZ0A339EB2HGU2S3RAU3O","AWZE4H0LSUQQA","Submitted","Fri Feb 17 11:58:25 PST 2023","Fri Feb 17 11:58:43 PST 2023","Fri Feb 24 11:58:43 PST 2023","","","","18","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","false","false","false","true","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","39ZSFO5CA93BVH5YHWU4W1JHZO1JUU","AFPVMYJ1WSTJL","Submitted","Sat Feb 18 14:36:01 PST 2023","Sat Feb 18 14:36:16 PST 2023","Sat Feb 25 14:36:16 PST 2023","","","","15","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","false","true","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","3I2PTA7R3U1EE84ZI8ABNFM5BSPKQJ","A16IT4WFJSH4VB","Submitted","Fri Feb 17 07:17:55 PST 2023","Fri Feb 17 07:18:24 PST 2023","Fri Feb 24 07:18:24 PST 2023","","","","29","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","true","false","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","3JV9LGBJWUL6RAV0D4XS0IZCPARGO5","A02878982MUSKX5V8EFO1","Submitted","Fri Feb 17 09:12:26 PST 2023","Fri Feb 17 09:12:39 PST 2023","Fri Feb 24 09:12:39 PST 2023","","","","13","100% (3/3)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","false","false","false","true","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","3QAPZX2QN5KV9ZVAC4AS8D9THOK02U","A244C0C7JAT1P4","Submitted","Mon Feb 20 04:39:06 PST 2023","Mon Feb 20 04:39:18 PST 2023","Mon Feb 27 04:39:18 PST 2023","","","","12","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","false","false","true","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","3VZLGYJEYMHTC04X4N8D426BC42ZXU","A2K00ULW2QZZ2X","Submitted","Mon Feb 20 02:32:19 PST 2023","Mon Feb 20 02:32:33 PST 2023","Mon Feb 27 02:32:33 PST 2023","","","","14","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","false","true","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
"3IZPORCT1FFL2ZKXZ0RCQTL2P16RHM","3PUZG2R74RRLAR6NGE06EJZSYLJ455","Compare object detections","Look at four object detections and choose the one that, in your opinion, best identifies the object.","object detections","$0.00","Fri Feb 17 06:49:56 PST 2023","15","BatchId:376145;OriginalHitTemplateId:921587254;","180","604800","Mon Feb 27 06:49:56 PST 2023","","","3WQQ9FUS6B17F109Q1GI2LIFUSZ8BH","AATL9AWHKU1YX","Submitted","Sat Feb 18 05:06:04 PST 2023","Sat Feb 18 05:06:13 PST 2023","Sat Feb 25 05:06:13 PST 2023","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","5037","car","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","false","true","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","https://storage.googleapis.com/object_detections/chosen_images/alpha1/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha10/5037_car0_small_IoU0.8.png","https://storage.googleapis.com/object_detections/chosen_images/alpha100/5037_car0_small_IoU0.7.png","https://storage.googleapis.com/object_detections/chosen_images/factor1.5/5037_car0_small_IoU0.7.png","1","3","car"
